CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
52,67,Female,Basic,1578,22,8,UPI,9,8,Yes
53,26,Male,Premium,1502,27,9,UPI,8,22,No
54,43,Male,Premium,893,10,3,Credit Card,3,1,Yes
55,19,Male,Premium,1721,16,8,Net Banking,9,13,No
56,37,Female,Basic,1327,42,1,Net Banking,3,24,No
57,45,Male,Premium,1259,42,3,UPI,8,21,No
58,64,Female,Enterprise,1473,51,8,UPI,10,4,No
59,24,Male,Enterprise,1115,10,3,Credit Card,9,7,No
60,61,Male,Basic,703,6,4,Credit Card,7,12,No
61,25,Female,Enterprise,1192,49,7,UPI,4,13,No
62,64,Male,Basic,367,5,0,Credit Card,10,16,No
63,52,Male,Premium,387,58,0,Credit Card,9,6,No
64,31,Female,Premium,2348,6,8,UPI,3,14,Yes
65,34,Female,Premium,1458,59,8,UPI,3,31,No
66,53,Female,Enterprise,2020,56,3,UPI,2,36,No
67,67,Female,Basic,1674,59,1,UPI,10,37,No
68,57,Female,Premium,2487,47,8,Net Banking,3,35,No
69,21,Male,Basic,2480,25,3,Net Banking,1,10,Yes
70,19,Female,Premium,1943,59,5,UPI,4,17,No
71,23,Male,Enterprise,477,51,0,Credit Card,8,30,No
72,59,Male,Enterprise,1681,50,8,UPI,5,7,No
73,21,Male,Basic,1207,4,4,Net Banking,2,18,Yes
74,46,Female,Enterprise,885,40,2,Credit Card,3,19,No
75,35,Female,Enterprise,1289,59,3,Net Banking,1,15,No
76,43,Male,Basic,1431,48,0,UPI,2,39,No
77,61,Female,Premium,2469,32,8,Net Banking,1,22,No
78,51,Female,Enterprise,2364,56,7,Net Banking,2,39,No
79,27,Female,Basic,1519,51,3,Net Banking,3,30,No
80,53,Female,Enterprise,617,52,1,Credit Card,1,20,No
81,31,Male,Enterprise,1802,35,8,Net Banking,9,32,No
82,48,Male,Enterprise,2334,10,3,Credit Card,10,25,No
83,65,Female,Enterprise,2342,34,8,UPI,5,23,No
84,32,Male,Basic,802,36,9,UPI,8,5,Yes
85,25,Female,Basic,2322,6,2,Net Banking,5,30,No
86,31,Female,Basic,418,43,6,Credit Card,8,39,No
87,40,Male,Enterprise,1009,46,6,UPI,7,27,No
88,57,Male,Enterprise,344,16,9,Credit Card,4,37,No
89,38,Male,Enterprise,613,59,3,Credit Card,7,7,No
90,33,Female,Basic,717,53,1,Net Banking,6,5,No
91,62,Male,Enterprise,1401,19,8,Net Banking,3,15,No
92,35,Female,Premium,625,34,3,Credit Card,9,8,No
93,64,Male,Enterprise,1739,25,7,Credit Card,10,9,No
94,41,Male,Premium,2286,31,1,Net Banking,9,11,No
95,43,Female,Enterprise,373,49,7,Credit Card,5,22,No
96,42,Female,Basic,1902,41,9,Net Banking,8,34,No
97,62,Female,Enterprise,808,17,4,Credit Card,7,35,No
98,58,Female,Premium,987,47,6,Net Banking,9,13,No
99,46,Female,Premium,956,30,6,Credit Card,7,11,No
100,32,Female,Enterprise,1842,39,8,Net Banking,4,32,No
101,62,Female,Premium,1592,54,2,Credit Card,4,15,No
102,18,Female,Premium,1699,55,9,UPI,8,38,No
103,42,Male,Basic,1852,31,3,UPI,6,1,No
104,24,Female,Enterprise,1375,19,9,Credit Card,9,24,No
105,26,Female,Enterprise,624,35,3,UPI,10,22,No
106,41,Male,Enterprise,1291,29,9,Credit Card,7,3,No
107,18,Female,Premium,2293,59,4,Credit Card,7,14,No
108,61,Male,Enterprise,1016,1,5,UPI,4,2,Yes
109,25,Male,Enterprise,576,4,2,Credit Card,3,32,No
110,41,Female,Basic,451,28,3,Net Banking,8,38,No
111,28,Male,Basic,1254,18,2,Credit Card,7,33,No
112,68,Female,Basic,1806,26,1,Credit Card,4,6,Yes
113,34,Male,Premium,558,40,9,UPI,4,39,No
114,25,Male,Enterprise,1168,19,8,Net Banking,1,25,No
115,52,Male,Basic,1491,55,0,Credit Card,7,34,No
116,52,Female,Basic,987,55,1,Credit Card,1,11,No
117,50,Female,Basic,609,57,7,Credit Card,10,37,No
118,22,Male,Enterprise,1802,6,6,Credit Card,10,7,Yes
119,59,Male,Enterprise,772,1,0,Credit Card,4,22,No
120,56,Female,Enterprise,1113,8,4,Credit Card,3,39,No
121,58,Female,Premium,1145,33,9,Net Banking,3,10,Yes
122,45,Male,Premium,1464,51,5,Net Banking,1,21,No
123,24,Male,Basic,966,43,4,Credit Card,4,6,Yes
124,26,Female,Enterprise,2108,21,3,Credit Card,1,1,No
125,25,Female,Basic,1743,24,0,UPI,8,34,No
126,29,Female,Enterprise,2067,25,6,Net Banking,1,14,No
127,51,Female,Enterprise,1564,47,8,Net Banking,6,36,No
128,50,Female,Enterprise,654,55,5,Credit Card,7,27,No
129,65,Male,Premium,2172,57,2,Net Banking,10,9,No
130,40,Female,Premium,2324,43,9,Net Banking,2,6,Yes
131,41,Male,Enterprise,479,19,3,UPI,4,31,No
132,54,Female,Basic,365,29,9,UPI,3,17,Yes
133,52,Male,Enterprise,1119,53,4,Net Banking,9,36,No
134,61,Female,Enterprise,1671,10,0,Net Banking,7,21,No
135,57,Female,Basic,470,56,4,Net Banking,2,27,No
136,39,Male,Enterprise,1690,12,0,Credit Card,6,28,No
137,44,Male,Basic,1430,33,8,UPI,9,16,No
138,52,Female,Premium,1134,56,6,Credit Card,3,35,No
139,18,Female,Premium,526,7,2,UPI,6,36,No
140,52,Female,Basic,741,17,8,UPI,3,35,Yes
141,54,Female,Premium,1027,58,1,UPI,3,19,No
142,64,Female,Premium,1904,10,6,Net Banking,4,21,Yes
143,31,Male,Basic,2431,31,8,UPI,9,33,No
144,20,Male,Premium,1336,6,5,Credit Card,8,23,No
145,18,Female,Enterprise,2132,17,9,UPI,1,6,Yes
146,22,Male,Enterprise,2148,50,4,Credit Card,1,32,No
147,43,Male,Basic,792,37,6,UPI,7,22,No
148,31,Male,Premium,1848,18,5,UPI,3,3,Yes
149,56,Female,Enterprise,1443,26,4,Net Banking,7,35,No
150,44,Male,Enterprise,1269,49,1,Credit Card,9,16,No
151,26,Female,Premium,2387,54,7,UPI,3,25,No
152,32,Male,Premium,939,16,6,UPI,3,17,No
153,32,Female,Enterprise,472,8,5,Credit Card,2,39,Yes
154,43,Male,Enterprise,1870,24,4,UPI,10,13,No
155,59,Female,Basic,558,13,4,Net Banking,1,28,No
156,30,Female,Basic,816,29,8,Credit Card,9,11,No
157,68,Male,Enterprise,822,32,0,Net Banking,6,10,No
158,49,Female,Basic,2217,24,8,Credit Card,6,39,No
159,56,Female,Enterprise,2464,16,5,Credit Card,8,24,No
160,66,Female,Enterprise,2229,11,3,Credit Card,5,38,No
161,69,Female,Basic,1439,32,9,UPI,9,24,No
162,49,Female,Basic,1138,6,6,Credit Card,5,33,Yes
163,21,Female,Premium,1389,59,8,Credit Card,2,17,No
164,47,Female,Premium,1393,35,4,Credit Card,6,36,No
165,54,Female,Premium,2269,33,4,Net Banking,9,35,No
166,40,Male,Enterprise,1874,18,7,Credit Card,3,6,Yes
167,56,Male,Basic,1880,37,6,UPI,10,16,No
168,62,Female,Enterprise,1414,13,7,Credit Card,4,28,No
169,32,Female,Basic,1049,10,9,Credit Card,10,32,Yes
170,60,Male,Enterprise,1393,37,1,Net Banking,8,26,No
171,46,Male,Premium,1489,26,8,UPI,6,11,No
172,53,Male,Premium,2175,46,2,UPI,7,25,No
173,30,Female,Premium,2087,17,5,UPI,7,31,No
174,49,Male,Enterprise,1907,1,5,Credit Card,4,21,Yes
175,24,Female,Basic,348,25,1,Credit Card,6,3,No
176,68,Female,Basic,1375,34,6,UPI,9,12,No
177,39,Male,Premium,1612,39,8,UPI,3,25,No
178,45,Female,Premium,1949,10,9,Net Banking,8,17,No
179,19,Female,Premium,2480,20,0,UPI,7,38,No
180,59,Female,Premium,1489,7,7,Credit Card,4,36,Yes
181,62,Female,Basic,1697,56,1,Credit Card,10,36,No
182,23,Male,Enterprise,2128,16,0,Credit Card,3,19,No
183,45,Male,Enterprise,778,37,7,Net Banking,7,2,No
184,45,Female,Enterprise,1131,29,1,UPI,10,17,No
185,61,Female,Enterprise,1914,12,5,Credit Card,9,30,No
186,61,Male,Premium,981,17,5,Net Banking,10,10,No
187,37,Female,Premium,1623,48,4,Net Banking,3,35,No
188,47,Male,Premium,381,20,7,Credit Card,10,36,No
189,28,Female,Enterprise,386,26,2,Net Banking,9,33,No
190,45,Female,Premium,2363,48,9,Net Banking,8,1,No
191,42,Male,Premium,1121,19,3,Credit Card,3,18,No
192,56,Male,Basic,462,58,6,Net Banking,8,4,Yes
193,50,Male,Basic,2232,47,6,Credit Card,4,27,Yes
194,18,Male,Premium,2150,12,7,Credit Card,6,25,No
195,44,Female,Basic,2160,21,1,Net Banking,10,28,No
196,69,Male,Basic,1415,42,1,Credit Card,2,22,No
197,30,Female,Premium,2182,58,3,Credit Card,8,25,No
198,58,Male,Premium,1222,54,9,UPI,9,17,No
199,20,Male,Premium,2475,34,8,Credit Card,7,12,No
200,56,Female,Premium,1749,7,9,UPI,8,16,No
201,23,Male,Enterprise,1882,45,8,UPI,7,37,No
202,25,Male,Enterprise,864,35,3,UPI,10,16,No
203,44,Male,Premium,770,15,8,UPI,4,17,No
204,26,Male,Basic,1287,1,2,Net Banking,1,31,Yes
205,54,Female,Premium,2234,26,4,Net Banking,3,15,No
206,50,Female,Premium,523,35,9,Credit Card,7,13,No
207,68,Male,Basic,650,25,8,Credit Card,7,27,No
208,59,Male,Enterprise,2228,42,5,Credit Card,3,21,No
209,61,Male,Premium,648,59,2,Net Banking,1,2,No
210,41,Female,Premium,481,59,9,UPI,10,8,No
211,32,Female,Enterprise,936,15,8,Net Banking,9,7,No
212,49,Female,Enterprise,1317,22,5,Net Banking,6,10,No
213,49,Female,Basic,1071,59,3,Credit Card,7,4,No
214,41,Male,Enterprise,1315,6,3,Credit Card,1,36,No
215,58,Male,Enterprise,2411,52,7,Credit Card,1,35,No
216,69,Male,Enterprise,328,15,6,UPI,4,3,Yes
217,66,Female,Basic,2444,24,0,UPI,7,18,No
218,66,Male,Enterprise,2193,21,5,Net Banking,8,24,No
219,69,Female,Enterprise,1765,7,7,UPI,10,32,No
220,29,Female,Basic,1526,57,2,Credit Card,9,34,No
221,56,Male,Enterprise,2368,29,8,UPI,1,2,Yes
222,19,Male,Enterprise,1425,32,9,UPI,4,2,Yes
223,20,Male,Basic,365,32,1,UPI,4,10,Yes
224,66,Female,Premium,1434,53,5,UPI,3,23,No
225,54,Female,Basic,637,59,0,Credit Card,7,15,No
226,66,Male,Enterprise,2470,5,1,Credit Card,1,12,No
227,34,Male,Enterprise,2028,4,4,Net Banking,9,17,No
228,66,Female,Enterprise,746,22,0,Net Banking,8,18,No
229,19,Male,Basic,580,18,7,Net Banking,2,14,Yes
230,19,Female,Enterprise,895,35,0,UPI,2,17,No
231,45,Female,Enterprise,2286,17,8,UPI,8,15,No
232,40,Male,Basic,1374,50,9,Credit Card,1,12,Yes
233,54,Male,Premium,509,50,2,Net Banking,7,16,No
234,49,Male,Premium,425,56,1,Credit Card,9,32,No
235,50,Male,Enterprise,791,24,0,Net Banking,3,23,No
236,18,Female,Basic,1269,2,8,Net Banking,7,38,Yes
237,36,Female,Enterprise,880,13,3,Net Banking,6,34,No
238,19,Female,Basic,1511,54,0,UPI,7,34,No
239,61,Male,Basic,529,15,0,Net Banking,7,16,No
240,43,Female,Premium,488,5,6,Net Banking,10,34,No
241,49,Male,Premium,2357,3,1,UPI,1,7,Yes
242,23,Male,Basic,801,37,6,Net Banking,3,33,Yes
243,49,Male,Enterprise,2432,37,6,UPI,10,4,No
244,21,Male,Premium,348,37,9,UPI,1,7,Yes
245,28,Male,Enterprise,988,3,8,Credit Card,5,18,No
246,34,Male,Premium,686,35,6,UPI,3,4,Yes
247,55,Female,Premium,1269,52,0,UPI,1,11,No
248,41,Male,Enterprise,1305,23,7,UPI,2,20,No
249,22,Female,Premium,2024,28,7,Net Banking,10,11,No
250,69,Female,Premium,2304,30,3,Credit Card,5,15,No
251,51,Male,Enterprise,1907,18,7,Net Banking,3,17,No
252,23,Male,Premium,2089,58,3,UPI,6,34,No
253,39,Male,Premium,570,52,7,UPI,9,12,No
254,28,Female,Premium,422,36,4,Credit Card,6,28,No
255,65,Male,Enterprise,1580,33,3,Credit Card,2,35,No
256,33,Female,Basic,1744,26,5,UPI,2,8,Yes
257,50,Male,Enterprise,558,48,1,UPI,8,27,No
258,26,Male,Basic,1247,40,1,Net Banking,8,22,No
259,23,Female,Premium,2394,17,1,UPI,6,24,No
260,33,Female,Basic,1162,40,8,Net Banking,10,2,Yes
261,46,Male,Enterprise,824,7,9,Credit Card,7,31,No
262,20,Female,Enterprise,1187,57,2,Net Banking,1,22,No
263,37,Female,Premium,507,8,9,UPI,9,1,Yes
264,53,Female,Basic,448,53,3,Net Banking,5,14,No
265,36,Female,Premium,737,56,9,Net Banking,9,25,No
266,43,Female,Premium,2021,31,7,Credit Card,2,36,No
267,20,Male,Enterprise,657,59,3,Net Banking,8,36,No
268,36,Male,Basic,1540,58,9,UPI,7,3,Yes
269,37,Female,Basic,2230,12,9,Net Banking,4,5,Yes
270,49,Male,Basic,755,48,6,Net Banking,3,1,Yes
271,24,Male,Basic,1932,31,4,Net Banking,4,19,No
272,69,Female,Premium,928,44,8,UPI,4,33,No
273,58,Male,Premium,785,19,3,Net Banking,10,30,No
274,50,Female,Enterprise,499,10,2,UPI,10,12,No
275,57,Female,Premium,670,39,1,Net Banking,8,10,No
276,56,Male,Premium,1313,12,0,Credit Card,4,34,No
277,35,Female,Enterprise,2282,20,5,Credit Card,5,16,No
278,57,Female,Enterprise,1771,37,9,Credit Card,2,29,No
279,18,Female,Enterprise,547,48,1,UPI,4,15,No
280,28,Female,Premium,1087,41,7,UPI,7,11,No
281,45,Female,Premium,2378,7,5,UPI,3,34,Yes
282,42,Male,Enterprise,1821,52,4,Net Banking,1,36,No
283,67,Male,Enterprise,1572,54,1,UPI,8,30,No
284,40,Female,Enterprise,904,58,6,UPI,8,35,No
285,48,Female,Premium,1989,14,1,UPI,6,9,No
286,47,Male,Premium,1717,11,4,UPI,7,18,No
287,59,Female,Basic,2120,7,1,Credit Card,10,19,No
288,52,Male,Premium,801,29,9,Net Banking,2,39,No
289,24,Female,Premium,848,10,1,Credit Card,5,4,No
290,33,Female,Premium,1665,29,6,Net Banking,7,6,No
291,43,Female,Enterprise,1138,9,8,Net Banking,9,33,No
292,65,Female,Premium,1730,36,4,Credit Card,1,32,No
293,69,Female,Enterprise,1748,48,6,UPI,3,16,No
294,66,Female,Basic,1147,10,3,Credit Card,6,11,No
295,19,Female,Basic,913,19,1,Net Banking,7,22,No
296,18,Male,Enterprise,711,56,2,Net Banking,6,36,No
297,65,Male,Enterprise,977,31,1,UPI,1,23,No
298,29,Male,Enterprise,458,17,4,Credit Card,4,26,No
299,22,Female,Premium,2361,9,5,Net Banking,6,31,No
300,54,Female,Basic,672,45,6,Credit Card,8,29,No
301,49,Female,Enterprise,1396,33,2,UPI,10,5,No
302,26,Female,Premium,902,34,3,UPI,4,38,No
303,58,Female,Basic,515,45,7,Net Banking,7,25,No
304,52,Female,Premium,2296,24,3,UPI,3,34,No
305,36,Female,Basic,1864,9,6,Net Banking,8,12,Yes
306,65,Male,Premium,2140,7,5,Net Banking,1,22,Yes
307,33,Female,Basic,2262,16,6,UPI,4,9,Yes
308,20,Male,Basic,1026,19,0,UPI,8,20,No
309,37,Male,Premium,1544,39,2,Credit Card,10,29,No
310,41,Female,Enterprise,1365,6,5,Credit Card,4,29,Yes
311,50,Female,Basic,975,50,2,Net Banking,2,27,No
312,41,Male,Enterprise,582,51,6,Credit Card,2,17,No
313,69,Male,Premium,1381,11,8,Net Banking,4,5,Yes
314,28,Female,Enterprise,2208,12,2,UPI,4,13,No
315,66,Female,Enterprise,1452,58,0,UPI,2,15,No
316,25,Male,Enterprise,1247,42,9,Credit Card,7,15,No
317,53,Female,Enterprise,964,13,5,Net Banking,6,18,No
318,55,Female,Enterprise,2017,12,0,Net Banking,3,2,Yes
319,57,Female,Basic,1448,21,0,Credit Card,8,23,No
320,37,Male,Basic,366,10,7,Net Banking,8,13,Yes
321,52,Male,Basic,2353,20,8,Net Banking,1,4,Yes
322,65,Male,Premium,936,50,1,UPI,3,25,No
323,42,Female,Enterprise,613,36,8,Net Banking,5,11,No
324,52,Female,Basic,864,28,4,Net Banking,2,12,No
325,42,Male,Premium,1901,24,7,Net Banking,5,13,No
326,46,Male,Basic,1125,5,6,Credit Card,10,9,Yes
327,35,Male,Basic,1405,37,6,Credit Card,3,38,Yes
328,63,Female,Enterprise,1325,12,3,Credit Card,9,6,No
329,35,Male,Premium,961,58,1,Net Banking,1,10,No
330,19,Male,Enterprise,1104,35,4,Net Banking,4,23,No
331,52,Female,Enterprise,835,40,2,Credit Card,10,15,No
332,33,Female,Basic,1691,54,8,Credit Card,6,23,No
333,58,Female,Enterprise,1535,2,5,Net Banking,9,37,No
334,53,Male,Premium,2220,50,0,Net Banking,3,34,No
335,50,Female,Enterprise,2464,41,2,UPI,3,16,No
336,21,Female,Enterprise,927,45,3,Credit Card,5,32,No
337,50,Male,Enterprise,1048,39,8,Net Banking,7,38,No
338,31,Female,Basic,404,42,5,Credit Card,5,5,Yes
339,38,Male,Premium,345,9,3,Credit Card,8,17,No
340,65,Male,Basic,1654,22,0,Credit Card,5,22,No
341,37,Female,Basic,1539,47,7,UPI,7,39,No
342,25,Female,Basic,1281,5,1,Net Banking,6,18,No
343,24,Female,Basic,1259,12,7,Net Banking,10,28,Yes
344,20,Female,Basic,1815,1,5,Credit Card,2,13,Yes
345,34,Female,Premium,2136,44,7,Net Banking,3,1,Yes
346,50,Female,Enterprise,1781,22,5,UPI,4,19,No
347,65,Male,Basic,1859,38,4,Credit Card,5,34,No
348,29,Male,Basic,1807,51,4,UPI,9,4,No
349,68,Female,Premium,2363,19,9,UPI,6,3,No
350,39,Male,Premium,2300,16,9,Net Banking,1,10,Yes
351,39,Female,Enterprise,2273,31,7,Net Banking,3,28,No
352,63,Male,Premium,1211,51,6,UPI,7,34,No
353,47,Male,Enterprise,1594,3,7,Net Banking,8,39,No
354,55,Male,Basic,2102,23,7,UPI,7,19,No
355,55,Female,Basic,2053,42,6,UPI,5,36,No
356,62,Male,Enterprise,414,59,1,Credit Card,10,3,No
357,68,Female,Premium,1903,18,8,UPI,8,23,No
358,25,Male,Enterprise,1622,26,6,UPI,9,17,No
359,44,Male,Premium,2160,13,5,Net Banking,7,7,No
360,44,Male,Basic,1398,58,8,Credit Card,9,26,No
361,51,Male,Premium,1277,18,0,Net Banking,1,18,No
362,38,Male,Enterprise,1805,3,1,Credit Card,9,6,No
363,47,Female,Enterprise,1426,58,0,Net Banking,3,31,No
364,50,Female,Basic,596,23,9,UPI,6,29,No
365,45,Male,Premium,1362,3,2,Credit Card,8,9,No
366,64,Male,Premium,558,55,4,Credit Card,3,35,No
367,50,Male,Premium,2354,25,0,Credit Card,4,17,No
368,22,Male,Basic,2396,27,3,Credit Card,7,12,No
369,65,Female,Premium,2192,58,7,Net Banking,7,36,No
370,36,Male,Enterprise,475,44,5,Net Banking,4,24,No
371,21,Female,Premium,1300,27,0,Credit Card,9,10,No
372,52,Male,Basic,2218,52,0,Credit Card,3,30,No
373,66,Female,Premium,1967,39,2,Credit Card,8,29,No
374,34,Male,Premium,575,25,9,Net Banking,8,39,No
375,61,Male,Enterprise,975,24,7,Credit Card,4,10,Yes
376,45,Female,Premium,2123,8,7,Credit Card,7,39,No
377,47,Male,Enterprise,1351,9,2,Credit Card,4,28,No
378,46,Male,Enterprise,1656,46,6,Net Banking,1,18,No
379,63,Male,Basic,2403,37,2,UPI,1,17,No
380,23,Female,Enterprise,846,30,3,UPI,1,11,No
381,52,Male,Enterprise,1435,53,8,Net Banking,2,1,Yes
382,58,Male,Basic,2383,19,3,UPI,6,17,No
383,54,Female,Enterprise,2340,53,2,Credit Card,10,36,No
384,41,Female,Basic,738,16,4,Credit Card,5,36,No
385,46,Female,Premium,2052,24,6,Net Banking,2,9,Yes
386,66,Male,Basic,1915,44,4,Net Banking,8,28,No
387,63,Male,Enterprise,2149,21,3,UPI,9,33,No
388,48,Male,Basic,1900,36,7,UPI,7,3,Yes
389,52,Female,Enterprise,1963,40,3,Credit Card,9,8,No
390,50,Male,Premium,606,39,1,Net Banking,4,6,No
391,69,Male,Basic,918,47,9,UPI,7,6,Yes
392,38,Female,Premium,1432,6,5,UPI,5,29,No
393,49,Female,Enterprise,1695,5,1,Credit Card,5,37,No
394,40,Female,Enterprise,1679,14,2,Credit Card,3,12,No
395,50,Female,Premium,1999,53,0,Credit Card,9,9,No
396,20,Female,Basic,2415,45,4,Credit Card,10,19,No
397,35,Male,Basic,480,42,8,UPI,5,17,No
398,42,Female,Enterprise,1787,50,1,Net Banking,6,32,No
399,59,Male,Premium,1213,4,6,Net Banking,3,35,Yes
400,48,Male,Premium,1857,8,4,Credit Card,10,14,No
401,20,Female,Basic,2413,24,1,Credit Card,7,16,No
402,57,Female,Basic,1344,11,7,UPI,9,21,Yes
403,63,Female,Basic,1935,17,5,Credit Card,9,12,No
404,41,Male,Premium,1938,50,3,Net Banking,10,24,No
405,67,Female,Basic,1882,21,3,Credit Card,10,34,No
406,49,Female,Basic,2386,57,1,Net Banking,5,8,No
407,64,Female,Enterprise,1608,26,2,Credit Card,7,21,No
408,39,Female,Basic,1121,43,6,Credit Card,3,8,Yes
409,40,Female,Basic,901,48,2,Net Banking,6,28,No
410,19,Male,Premium,1920,44,4,UPI,8,16,No
411,44,Male,Premium,1084,45,9,UPI,8,10,No
412,59,Male,Enterprise,1511,27,5,Credit Card,2,15,No
413,19,Female,Basic,970,16,5,Credit Card,6,4,Yes
414,43,Female,Enterprise,1566,55,3,Net Banking,7,26,No
415,34,Female,Premium,1396,26,5,Net Banking,7,15,No
416,57,Male,Enterprise,2297,53,2,Credit Card,3,36,No
417,50,Female,Premium,400,33,6,Net Banking,9,32,No
418,26,Female,Enterprise,2079,31,6,UPI,2,38,No
419,60,Female,Enterprise,475,48,3,UPI,3,4,No
420,65,Male,Basic,537,47,1,Net Banking,2,9,Yes
421,56,Female,Enterprise,1422,6,6,Net Banking,9,35,No
422,46,Male,Basic,2277,44,2,Net Banking,4,28,No
423,59,Female,Basic,2303,8,0,UPI,2,37,Yes
424,43,Male,Basic,1837,7,1,Credit Card,3,9,Yes
425,52,Male,Basic,1054,34,9,Net Banking,4,2,Yes
426,67,Male,Enterprise,1446,44,8,Net Banking,10,3,No
427,42,Female,Premium,1711,53,7,Net Banking,6,5,No
428,41,Female,Premium,439,14,5,Credit Card,5,10,No
429,30,Male,Premium,840,16,5,Net Banking,3,28,No
430,24,Male,Enterprise,1714,43,0,Net Banking,10,15,No
431,53,Female,Basic,569,52,1,UPI,8,14,No
432,62,Female,Premium,1335,9,3,Net Banking,8,23,No
433,37,Male,Enterprise,2190,10,2,UPI,7,13,No
434,18,Female,Basic,805,17,0,Credit Card,3,16,No
435,25,Female,Premium,1429,12,7,Net Banking,1,30,Yes
436,63,Female,Basic,2379,6,6,Net Banking,5,8,Yes
437,33,Female,Premium,2172,19,3,UPI,1,17,No
438,31,Male,Premium,1392,43,8,Credit Card,6,30,No
439,29,Female,Premium,1112,41,3,Credit Card,7,17,No
440,68,Female,Basic,661,53,0,UPI,5,35,No
441,40,Male,Enterprise,1756,29,9,Credit Card,4,1,Yes
442,32,Male,Basic,1228,6,0,Credit Card,2,24,Yes
443,45,Female,Premium,399,59,0,Credit Card,5,25,No
444,51,Female,Basic,1981,25,0,Credit Card,9,2,No
445,19,Female,Enterprise,2356,57,3,Credit Card,4,25,No
446,49,Female,Basic,1352,24,0,Credit Card,2,14,No
447,40,Male,Enterprise,1220,25,1,Credit Card,6,39,No
448,39,Male,Enterprise,931,16,3,Credit Card,8,33,No
449,68,Male,Basic,981,52,6,Net Banking,2,17,Yes
450,42,Female,Premium,2429,16,1,UPI,9,31,No
451,39,Female,Enterprise,1053,6,7,Credit Card,7,10,Yes
452,39,Female,Basic,1764,37,6,UPI,2,6,Yes
453,66,Female,Enterprise,1019,21,8,Credit Card,5,39,No
454,69,Male,Premium,374,4,5,Credit Card,5,25,No
455,59,Male,Basic,1593,34,3,Net Banking,7,38,No
456,23,Female,Basic,2222,28,5,UPI,5,37,No
457,32,Male,Basic,361,38,3,UPI,6,30,No
458,60,Female,Premium,1173,41,6,Net Banking,9,34,No
459,54,Female,Enterprise,619,28,8,Net Banking,3,18,No
